"congress","state","congressional_district","party","name","ideology_score"
112,"TEXAS",25,"Democrat","DOGGETT",-0.42
112,"TEXAS",26,"Republican","BURGESS",0.945
112,"TEXAS",27,"Republican","FARENTHOLD",0.76
112,"TEXAS",28,"Democrat","CUELLAR",-0.196
112,"TEXAS",29,"Democrat","GREEN",-0.316
112,"TEXAS",30,"Democrat","JOHNSON",-0.434
112,"TEXAS",31,"Republican","CARTER",0.536
112,"TEXAS",32,"Republican","SESSIONS",0.794
112,"UTAH",1,"Republican","BISHOP",0.792
112,"UTAH",2,"Democrat","MATHESON",-0.093
112,"UTAH",3,"Republican","CHAFFETZ",0.954
112,"VERMONT",1,"Democrat","WELCH",-0.456
112,"VIRGINI",1,"Republican","WITTMAN",0.676
112,"VIRGINI",2,"Republican","RIGELL",0.804
112,"VIRGINI",3,"Democrat","SCOTT",-0.397
112,"VIRGINI",4,"Republican","FORBES",0.621
112,"VIRGINI",5,"Republican","HURT",0.802
112,"VIRGINI",6,"Republican","GOODLATT",0.769
112,"VIRGINI",7,"Republican","CANTOR",0.717
112,"VIRGINI",8,"Democrat","MORAN",-0.329
112,"VIRGINI",9,"Republican","GRIFFITH",0.879
112,"VIRGINI",10,"Republican","WOLF",0.493
112,"VIRGINI",11,"Democrat","CONNOLLY",-0.28
112,"WASHING",1,"Democrat","INSLEE",-0.367
112,"WASHING",1,"Democrat","DELBENE",-0.253
112,"WASHING",2,"Democrat","LARSEN",-0.331
112,"WASHING",3,"Republican","HERRERA BEU",0.761
112,"WASHING",4,"Republican","HASTINGS",0.554
112,"WASHING",5,"Republican","MCMORRIS RO",0.648
112,"WASHING",6,"Democrat","DICKS",-0.252
112,"WASHING",7,"Democrat","MCDERMOT",-0.662
112,"WASHING",8,"Republican","REICHERT",0.543
112,"WASHING",9,"Democrat","SMITH",-0.291
112,"WEST VI",1,"Republican","MCKINLEY",0.526
112,"WEST VI",2,"Republican","CAPITO",0.499
112,"WEST VI",3,"Democrat","RAHALL",-0.229
112,"WISCONS",1,"Republican","RYAN",0.848
112,"WISCONS",2,"Democrat","BALDWIN",-0.535
112,"WISCONS",3,"Democrat","KIND",-0.294
112,"WISCONS",4,"Democrat","MOORE",-0.519
112,"WISCONS",5,"Republican","SENSENBR",1.216
112,"WISCONS",6,"Republican","PETRI",0.772
112,"WISCONS",7,"Republican","DUFFY",0.841
112,"WISCONS",8,"Republican","RIBBLE",0.935
112,"WYOMING",1,"Republican","LUMMIS",0.948
113,"USA",0,"Democrat","OBAMA",-0.371
113,"ALABAMA",1,"Republican","BONNER",0.458
113,"ALABAMA",1,"Republican","BYRNE",0.706
113,"ALABAMA",2,"Republican","ROBY",0.441
113,"ALABAMA",3,"Republican","ROGERS",0.459
113,"ALABAMA",4,"Republican","ADERHOLT",0.447
113,"ALABAMA",5,"Republican","BROOKS",0.837
113,"ALABAMA",6,"Republican","BACHUS",0.565
113,"ALABAMA",7,"Democrat","SEWELL",-0.319
113,"ALASKA",1,"Republican","YOUNG",0.505
113,"ARIZONA",1,"Democrat","KIRKPATRIC",-0.172
113,"ARIZONA",2,"Democrat","BARBER",-0.073
